TEMA,FRASE,USADA,FECHA_USADA
DINERO,No se puede servir a Dios y al Dinero. – Jesucristo.,FALSE,
DINERO,El dinero es un valor que permite no depender de nadie. – Albert Camus.,FALSE,
DINERO,"La felicidad no es un objetivo, es un subproducto. – Eleanor Roosevelt.",FALSE,
DINERO,"El dinero es como el brazo derecho: útil si se usa, inútil si se guarda. – Anónimo.",FALSE,
DINERO,El dinero solo es útil cuando se gasta. – Atribuido a varios economistas.,FALSE,
DINERO,La avaricia es un pozo sin fondo que agota a la persona en un esfuerzo interminable por satisfacer su necesidad. – Erich Fromm.,FALSE,
DINERO,"El mundo tiene suficiente para las necesidades de todos, pero no para la codicia de todos. – Mahatma Gandhi.",FALSE,
DINERO,La codicia es la raíz de todos los males. – 1 Timoteo 6:10.,FALSE,
DINERO,El que ama el dinero no se saciará de dinero. – Eclesiastés 5:10.,FALSE,
DINERO,La ambición es el último refugio del fracaso. – Oscar Wilde.,FALSE,
DINERO,"El dinero es como el agua salada: cuanto más se bebe, más sed da. – Arthur Schopenhauer.",FALSE,
DINERO,"La riqueza es como el humo; si no sale por la chimenea, ahoga al dueño. – Refrán.",FALSE,
DINERO,El lujo es una necesidad que empieza donde acaba la necesidad. – Coco Chanel.,FALSE,
DINERO,"El ahorro es una virtud, especialmente cuando tus antepasados lo han practicado por ti. – Winston Churchill.",FALSE,
DINERO,Un necio y su dinero pronto se separan. – Thomas Tusser.,FALSE,
DINERO,Nada es tan difícil de soportar como una serie de días buenos. – Goethe (sobre la complacencia de la riqueza).,FALSE,
DINERO,"El que persigue dos conejos, no atrapa ninguno. – Confucio.",FALSE,
DINERO,El precio de cualquier cosa es la cantidad de vida que intercambias por ella. – Henry David Thoreau.,FALSE,
DINERO,La especulación es solo una palabra para designar la esperanza de los tontos. – Anónimo.,FALSE,
DINERO,"Donde hay dinero, hay demonios. – San Jerónimo.",FALSE,
DINERO,La propiedad es un robo. – Pierre-Joseph Proudhon.,FALSE,
DINERO,El capital no tiene patria. – Napoleón Bonaparte.,FALSE,
DINERO,La riqueza consiste mucho más en el disfrute que en la posesión. – Aristóteles.,TRUE,2026-03-09
DINERO,El que tiene dinero tiene en el bolsillo a los que no lo tienen. – León Tolstói.,FALSE,
DINERO,"Si el dinero es tu esperanza de independencia, nunca la tendrás. – Henry Ford.",FALSE,
DINERO,El tiempo es dinero. – Benjamin Franklin.,FALSE,
DINERO,Gasta tu dinero en las cosas que el dinero puede comprar. Gasta tu tiempo en las cosas que el dinero no puede comprar. – Haruki Murakami.,FALSE,
DINERO,La economía es el arte de sacar el mayor provecho de la vida. – George Bernard Shaw.,FALSE,
DINERO,"No pongas tu confianza en el dinero, pero pon tu dinero en confianza. – Oliver Wendell Holmes.",FALSE,
DINERO,"Cuando el último árbol sea cortado y el último pez pescado, el hombre se dará cuenta de que el dinero no se puede comer. – Proverbio Cree.",FALSE,
DINERO,El capitalista te venderá la soga con la que lo vas a colgar. – Atribuido a Lenin.,FALSE,
DINERO,El mercado es un lugar creado para que los hombres se engañen unos a otros. – Anacarsis.,FALSE,
DINERO,"El dinero es una herramienta. Te llevará a donde desees, pero no te reemplazará como conductor. – Ayn Rand.",FALSE,
DINERO,Un hombre con un millón de dólares es tan feliz como si fuera rico. – Arnold Schwarzenegger (con humor).,FALSE,
DINERO,"El presupuesto le dice a tu dinero a dónde ir, en lugar de preguntarte a dónde se fue. – John Maxwell.",FALSE,
DINERO,El dinero es el único poder que no necesita ser justificado. – Anónimo.,FALSE,
DINERO,"Si quieres saber lo que Dios piensa del dinero, solo mira a la gente a la que se lo ha dado. – Dorothy Parker.",FALSE,
DINERO,El trabajo es el padre y la tierra es la madre de la riqueza. – William Petty.,FALSE,
DINERO,La clase media es aquella que tiene que trabajar para pagar por las cosas que no necesita. – Anónimo.,FALSE,
DINERO,La inflación es cuando pagas quince dólares por el corte de pelo de diez dólares que antes pagabas cinco cuando tenías pelo. – Sam Ewing.,FALSE,
DINERO,El interés compuesto es la octava maravilla del mundo. – Albert Einstein.,FALSE,
DINERO,No puedes comprar el cielo con dinero. – Proverbio.,FALSE,
DINERO,La bolsa es un juego que consiste en pasar de mano en mano una brasa encendida. – Nathaniel Rothschild.,FALSE,
DINERO,La prosperidad es el mejor protector de la paz. – James Madison.,FALSE,
DINERO,"Al final, no importa cuánto dinero tengas, solo cuántas vidas tocaste. – Anónimo.",FALSE,
AMOR,"Platón: Al contacto del amor, todo el mundo se vuelve poeta.",FALSE,
AMOR,Aristóteles: El amor se compone de una sola alma que habita en dos cuerpos.,FALSE,
AMOR,"Séneca: Si quieres ser amado, ama.",FALSE,
AMOR,"Epicuro: No es tanto la ayuda de nuestros amigos lo que nos ayuda, sino la confianza de su ayuda.",FALSE,
AMOR,"Platón: El amor es la alegría de los buenos, la reflexión de los sabios, el asombro de los incrédulos.",FALSE,
AMOR,San Agustín: La medida del amor es amar sin medida.,FALSE,
AMOR,Cicerón: Nadie hay que no ame; la cuestión es qué es lo que ama.,FALSE,
AMOR,"Plutarco: Donde no hay amor, no hay dolor.",TRUE,2026-03-09
AMOR,Sófocles: Una palabra nos libera de todo el peso y el dolor de la vida: esa palabra es amor.,FALSE,
AMOR,Platón: El amor es una enfermedad mental grave. (Incluso los genios tienen sus días cínicos).,FALSE,
AMOR,"Friedrich Nietzsche: Lo que se hace por amor, ocurre siempre más allá del bien y del mal.",FALSE,
AMOR,Jean-Paul Sartre: El amor es una empresa temeraria.,FALSE,
AMOR,"Simone de Beauvoir: El día que sea posible para la mujer amar no por debilidad sino por fortaleza, el amor será para ella una fuente de vida y no un peligro mortal.",FALSE,
AMOR,Baruch Spinoza: El amor es una alegría acompañada por la idea de una causa externa.,FALSE,
AMOR,"Arthur Schopenhauer: Todo amor, por etéreo que quiera ser, tiene sus raíces en el instinto sexual.",FALSE,
AMOR,José Ortega y Gasset: En el amor nos parece que nos hemos quedado solos con el universo.,FALSE,
AMOR,"Immanuel Kant: El corazón humano tiene un deseo de amor, pero también un deseo de independencia.",FALSE,
AMOR,Blaise Pascal: El corazón tiene razones que la razón no entiende.,TRUE,2026-03-09
AMOR,"Søren Kierkegaard: El amor es todo, es la mayor alegría, pero es también el dolor más profundo.",FALSE,
AMOR,"Friedrich Nietzsche: No es la falta de amor, sino la falta de amistad lo que hace que los matrimonios sean infelices.",FALSE,
AMOR,Erich Fromm: El amor infantil sigue el principio: 'Amo porque me aman'. El amor maduro sigue el principio: 'Me aman porque amo'.,TRUE,2026-03-09
AMOR,Antoine de Saint-Exupéry: Amar no es mirarse el uno al otro; es mirar juntos en la misma dirección.,FALSE,
AMOR,Gabriel Marcel: Amar a alguien es decirle: tú no morirás jamás.,FALSE,
AMOR,"Stendhal: El amor es una flor deliciosa, pero es preciso tener el valor de ir a buscarla al borde de un precipicio horrible.",FALSE,
AMOR,Viktor Frankl: El amor es la meta última y más alta a la que puede aspirar el hombre.,FALSE,
AMOR,"Carl Jung: Donde el amor impera, no hay deseo de poder; y donde el poder predomina, falta el amor.",FALSE,
AMOR,"Erich Fromm: El amor no es algo natural. Más bien requiere disciplina, concentración, paciencia y fe.",FALSE,
AMOR,Octavio Paz: El amor es una apuesta temeraria por la libertad.,FALSE,
AMOR,"Bertrand Russell: Temer al amor es temer a la vida, y los que temen a la vida ya están medio muertos.",FALSE,
AMOR,Miguel de Unamuno: Se quiere más lo que se ha conquistado con fatiga.,FALSE,
AMOR,"Lao Tzu: Ser profundamente amado por alguien te da fuerza, mientras que amar a alguien profundamente te da valor.",FALSE,
AMOR,"Rumi: Tu tarea no es buscar el amor, sino simplemente buscar y encontrar todas las barreras dentro de ti que has construido contra él.",FALSE,
AMOR,"Buda: Tú mismo, tanto como cualquier otro en el universo entero, mereces tu amor y afecto.",FALSE,
AMOR,Khalil Gibran: El amor no da nada más que a sí mismo y no toma nada más que de sí mismo.,FALSE,
AMOR,"Confucio: Dondequiera que vayas, ve con todo tu corazón.",FALSE,
AMOR,"Jiddu Krishnamurti: En el momento en que tienes amor, no estás siguiendo a nadie.",FALSE,
AMOR,"Rabindranath Tagore: El amor es un misterio infinito, porque no tiene causa que lo explique.",FALSE,
AMOR,"Rumi: Donde hay ruinas, hay esperanza de un tesoro.",FALSE,
AMOR,Hafez: El amor es el puente entre tú y todo.,FALSE,
AMOR,Daisaku Ikeda: El amor debe ser una fuerza que nos impulse a ser mejores.,FALSE,
AMOR,"William Shakespeare: El amor no mira con los ojos, sino con el alma.",FALSE,
AMOR,"Victor Hugo: La suprema felicidad de la vida es saber que eres amado por ti mismo o, más exactamente, a pesar de ti mismo.",FALSE,
AMOR,Dante Alighieri: El amor mueve el sol y las demás estrellas.,FALSE,
AMOR,"Lord Byron: El amor del hombre es algo aparte en su vida; para la mujer, es su existencia entera.",FALSE,
AMOR,Oscar Wilde: Amarse a uno mismo es el comienzo de un romance de por vida.,FALSE,
AMOR,Johann Wolfgang von Goethe: Amamos a una persona porque ella es lo que nosotros no somos.,FALSE,
AMOR,Federico García Lorca: El amor es el beso que se da con el alma.,FALSE,
AMOR,"Pablo Neruda: Para mi corazón basta tu pecho, para tu libertad bastan mis alas.",FALSE,
AMOR,Jorge Luis Borges: Estar contigo o no estar contigo es la medida de mi tiempo.,FALSE,
AMOR,Gustave Flaubert: El amor es un manantial que se agota si no se alimenta de algo nuevo cada día.,FALSE,
AMOR,François de La Rochefoucauld: Es más difícil ocultar los sentimientos que tenemos que fingir los que no tenemos.,FALSE,
AMOR,George Bernard Shaw: El primer amor es un poco de locura y mucha curiosidad.,FALSE,
AMOR,"Michel de Montaigne: Si me preguntan por qué le amaba, siento que solo puede expresarse respondiendo: porque era él; porque era yo.",FALSE,
AMOR,David Hume: El amor es la emoción más poderosa de la mente humana.,FALSE,
AMOR,Immanuel Kant: La amistad es el amor sin alas.,FALSE,
AMOR,"Zygmunt Bauman: En el amor líquido, los lazos son frágiles y las relaciones son precarias.",FALSE,
AMOR,Albert Camus: No ser amado es una simple desventura; la verdadera desgracia es no amar.,FALSE,
AMOR,"Hannah Arendt: El amor, por su propia naturaleza, no es mundano.",FALSE,
AMOR,Thomas Hobbes: El deseo de amor es el deseo de poder sobre los demás.,FALSE,
AMOR,Byung-Chul Han: El amor hoy se ha convertido en una mercancía de consumo.,FALSE,
AMOR,Hegel: El amor es la conciencia de mi unidad con el otro.,FALSE,
AMOR,Francis Bacon: Es imposible amar y ser sabio al mismo tiempo.,FALSE,
AMOR,"Lev Tolstói: El que solo conoce a su mujer y la ama, sabe más de mujeres que el que ha conocido a mil.",FALSE,
AMOR,Simone Weil: Amar es aceptar que el otro sea distinto a uno.,FALSE,
AMOR,Fiodor Dostoyevski: ¿Qué es el infierno? Yo sostengo que es el sufrimiento de no poder amar.,FALSE,
AMOR,Charles Bukowski: El amor es una forma de prejuicio. Amas lo que necesitas.,FALSE,
AMOR,Giacomo Casanova: El amor es tres cuartas partes curiosidad.,FALSE,
AMOR,Honoré de Balzac: El amor es la poesía de los sentidos.,FALSE,
AMOR,Denis Diderot: Solo las grandes pasiones pueden elevar el alma a grandes cosas.,FALSE,
AMOR,Ralph Waldo Emerson: Todo el mundo ama a un amante.,FALSE,
AMOR,Henry David Thoreau: No hay más remedio para el amor que amar más.,FALSE,
AMOR,Albert Einstein: El amor es mejor maestro que el deber.,FALSE,
AMOR,Virginia Woolf: Nadie ha amado como nosotros amamos.,FALSE,
AMOR,"Emily Dickinson: El amor es anterior a la vida, posterior a la muerte.",FALSE,
AMOR,Marcel Proust: Casi no hay amor en el que no haya una parte de invención.,FALSE,
AMOR,Milan Kundera: El amor es el deseo de encontrar la mitad perdida de nosotros mismos.,FALSE,
AMOR,"Isabel Allende: Tal vez estamos en este mundo para buscar el amor, encontrarlo y perderlo, una y otra vez.",FALSE,
AMOR,"Julio Cortázar: Ven a dormir conmigo: no haremos el amor, él nos hará.",FALSE,
AMOR,"Mario Benedetti: Sé que voy a quererte sin preguntas, sé que vas a quererme sin respuestas.",FALSE,
AMOR,"Gabriel García Márquez: El problema del matrimonio es que se acaba todas las noches después de hacer el amor, y hay que volver a reconstruirlo todas las mañanas antes del desayuno.",FALSE,
AMOR,Sandro Pertini: El amor es la fuerza que transforma y mejora el alma del mundo.,FALSE,
AMOR,"Erasmo de Rotterdam: En el amor, la locura es siempre un componente esencial.",FALSE,
AMOR,Molière: El amor es un gran maestro: nos enseña a ser lo que nunca fuimos.,FALSE,
AMOR,"Alfred de Musset: El amor es un sueño, pero el matrimonio es la alarma.",FALSE,
AMOR,"Benjamin Franklin: Si quieres ser amado, sé amable.",FALSE,
AMOR,"Mark Twain: Para obtener el valor total de la alegría, debes tener a alguien con quien dividirla.",FALSE,
AMOR,"Paulo Coelho: Cuando amamos, siempre nos esforzamos por ser mejores de lo que somos.",FALSE,
AMOR,"John Lennon: Todo lo que necesitas es amor. (Filosofía pop, pero filosofía al fin).",FALSE,
AMOR,Anatole France: Es mejor haber amado y perdido que jamás haber amado.,FALSE,
AMOR,"Hermann Hesse: Si sé lo que es el amor, es por ti.",FALSE,
AMOR,Felicité de Lamennais: El amor y la fe son las dos fuerzas que mueven al mundo.,FALSE,
AMOR,"Jean de La Bruyère: Solo hay un amor verdadero, pero hay mil copias diferentes.",FALSE,
AMOR,Madame de Staël: El amor es el emblema de la eternidad; confunde toda noción de tiempo.,FALSE,
AMOR,Pierre Corneille: El amor que nace de repente es el más difícil de curar.,FALSE,
AMOR,Graham Greene: Es imposible amar y ser políticamente correcto.,FALSE,
AMOR,"Aldous Huxley: El amor expulsa el miedo y, a su vez, el miedo expulsa al amor.",FALSE,
AMOR,Umberto Eco: El amor es más sabio que la sabiduría.,FALSE,
AMOR,Zygmunt Bauman: Amar significa abrirse al destino.,FALSE,
AMOR,Simone de Beauvoir: El amor auténtico debería basarse en el reconocimiento mutuo de dos libertades.,FALSE,
AMOR,"Anónimo (Sabiduría Popular): El amor es como el Wi-Fi: está en el aire, pero no todos tienen la contraseña.",FALSE,
ANSIEDAD,La ansiedad es el vértigo de la libertad. — Søren Kierkegaard.,FALSE,
ANSIEDAD,"El hombre está condenado a ser libre; porque una vez arrojado al mundo, es responsable de todo lo que hace. — Jean-Paul Sartre.",FALSE,
ANSIEDAD,"No es el miedo a algo concreto, sino el miedo a la nada misma. — Martin Heidegger.",FALSE,
ANSIEDAD,La existencia precede a la esencia. — Jean-Paul Sartre.,FALSE,
ANSIEDAD,La ansiedad es la disposición fundamental que nos coloca ante la nada. — Martin Heidegger.,FALSE,
ANSIEDAD,"Elegir es ser libre, y la libertad es la fuente de toda angustia. — Søren Kierkegaard.",FALSE,
ANSIEDAD,El hombre no es nada más que lo que hace de sí mismo. — Jean-Paul Sartre.,FALSE,
ANSIEDAD,La angustia es el modo de ser de la libertad como conciencia del ser. — Jean-Paul Sartre.,FALSE,
ANSIEDAD,Aceptar nuestra finitud es el primer paso para superar la ansiedad por la muerte. — Martin Heidegger.,FALSE,
ANSIEDAD,La vida comienza al otro lado de la desesperación. — Jean-Paul Sartre.,FALSE,
ANSIEDAD,Sufrimos más a menudo en la imaginación que en la realidad. — Séneca.,FALSE,
ANSIEDAD,"No son las cosas las que nos perturban, sino nuestra interpretación de ellas. — Epicteto.",FALSE,
ANSIEDAD,"Tienes poder sobre tu mente, no sobre los acontecimientos externos. Date cuenta de esto y encontrarás la fuerza. — Marco Aurelio.",FALSE,
ANSIEDAD,La felicidad es un flujo de vida tranquilo. — Zenón de Citio.,FALSE,
ANSIEDAD,¿Por qué habrías de preocuparte por el futuro? Vive el presente con rectitud. — Marco Aurelio.,FALSE,
ANSIEDAD,"El hombre que sufre antes de que sea necesario, sufre más de lo necesario. — Séneca.",FALSE,
ANSIEDAD,"Nuestra ansiedad no proviene de pensar en el futuro, sino de querer controlarlo. — Jalil Gibran (influencia estoica).",FALSE,
ANSIEDAD,La mayor parte de lo que decimos y hacemos no es necesario. — Marco Aurelio.,FALSE,
ANSIEDAD,No busques que los eventos sucedan como quieres; desea que sucedan como suceden. — Epicteto.,FALSE,
ANSIEDAD,La tranquilidad es nada menos que el buen orden de la mente. — Marco Aurelio.,FALSE,
ANSIEDAD,"Si estás ansioso, estás viviendo en el futuro. Si estás en paz, estás viviendo en el presente. — Lao Tzu (atribuida).",FALSE,
ANSIEDAD,La raíz del sufrimiento es el apego. — Buda.,FALSE,
ANSIEDAD,"Nada es permanente en este mundo malvado, ni siquiera nuestros problemas. — Charlie Chaplin (perspectiva budista).",FALSE,
ANSIEDAD,"Si tiene solución, ¿por qué te preocupas? Si no la tiene, ¿por qué te preocupas? — Proverbio budista.",FALSE,
ANSIEDAD,El hoy es el único tiempo que tenemos para ser felices. — Thich Nhat Hanh.,FALSE,
ANSIEDAD,La ansiedad es como una mecedora: te da algo que hacer pero no te lleva a ninguna parte. — Proverbio indio.,FALSE,
ANSIEDAD,Fluye con todo lo que ocurra y deja que tu mente sea libre. — Zhuangzi.,FALSE,
ANSIEDAD,La paz mental llega cuando dejas de querer cambiar a los demás y te enfocas en ti. — Proverbio Zen.,FALSE,
ANSIEDAD,"No habites en el pasado, no sueñes con el futuro, concentra la mente en el momento presente. — Buda.",FALSE,
ANSIEDAD,"Bebe tu té lentamente y con reverencia, como si fuera el eje sobre el que gira la tierra. — Thich Nhat Hanh.",FALSE,
ANSIEDAD,La ansiedad es el precio que pagamos por la civilización. — Sigmund Freud.,FALSE,
ANSIEDAD,"A lo que te resistes, persiste. — Carl Jung.",FALSE,
ANSIEDAD,La preocupación es una forma de arrogancia: creer que puedes controlar el mañana. — Alan Watts.,FALSE,
ANSIEDAD,"No soy lo que me pasó, soy lo que elijo ser. — Carl Jung.",FALSE,
ANSIEDAD,La ansiedad es un ruido que indica que algo en nuestra alma necesita atención. — Alain de Botton.,FALSE,
ANSIEDAD,"Vivir es lo más raro del mundo. La mayoría de la gente existe, eso es todo. — Oscar Wilde.",FALSE,
ANSIEDAD,"La mente es su propio lugar, y en sí misma puede hacer un cielo del infierno. — John Milton.",FALSE,
ANSIEDAD,"El hombre moderno vive bajo la ilusión de saber lo que quiere, mientras que en realidad solo quiere lo que se supone que debe querer. — Erich Fromm.",FALSE,
ANSIEDAD,La soledad es el camino por el que el destino se busca a sí mismo. — Hermann Hesse.,FALSE,
ANSIEDAD,"Nadie puede construirte el puente sobre el cual debas cruzar el río de la vida, nadie excepto tú mismo. — Friedrich Nietzsche.",FALSE,
ANSIEDAD,Debemos imaginar a Sísifo feliz. — Albert Camus.,FALSE,
ANSIEDAD,"En medio del invierno, aprendí por fin que había en mí un verano invencible. — Albert Camus.",FALSE,
ANSIEDAD,"Lo que no me mata, me hace más fuerte. — Friedrich Nietzsche.",FALSE,
ANSIEDAD,"Quien tiene un porqué para vivir, puede soportar casi cualquier cómo. — Viktor Frankl.",FALSE,
ANSIEDAD,La mayor arma contra el estrés es nuestra capacidad de elegir un pensamiento sobre otro. — William James.,FALSE,
ANSIEDAD,"El secreto de la existencia humana no solo está en vivir, sino en saber para qué se vive. — Fiódor Dostoyevski.",FALSE,
ANSIEDAD,No dejes que el ruido de las opiniones ajenas silencie tu propia voz interior. — Steve Jobs.,FALSE,
ANSIEDAD,"La vida es una tragedia de cerca, pero una comedia de lejos. — Charlie Chaplin.",FALSE,
ANSIEDAD,"La ansiedad no vacía el mañana de sus penas, sino que vacía el hoy de su fuerza. — Charles Spurgeon.",FALSE,
ANSIEDAD,"Amor Fati: Ama tu destino, que es en realidad tu propia vida. — Friedrich Nietzsche.",FALSE,
ANSIEDAD,Pensar demasiado es el arte de crear problemas que no existían.,FALSE,
ANSIEDAD,La calma es el superpoder del hombre moderno.,FALSE,
ANSIEDAD,El miedo llamó a la puerta. La fe abrió. No había nadie.,FALSE,
ANSIEDAD,No cruces el puente hasta que llegues a él.,FALSE,
ANSIEDAD,La ansiedad es solo energía sin dirección.,FALSE,
ANSIEDAD,El futuro es un lugar que no existe más que en tu mente.,FALSE,
ANSIEDAD,"Tu mente es un jardín, tus pensamientos son las semillas.",FALSE,
ANSIEDAD,"Lo que te preocupa, te esclaviza. — Locke.",FALSE,
ANSIEDAD,La paciencia es la forma más suave de la valentía.,FALSE,
ANSIEDAD,Incluso la noche más oscura terminará y el sol saldrá. — Victor Hugo.,FALSE,
ANSIEDAD,Ser consciente es estar vivo.,FALSE,
ANSIEDAD,"La duda es el principio de la sabiduría, pero la ansiedad es el fin del descanso.",FALSE,
ANSIEDAD,"No te tomes la vida tan en serio, al fin y al cabo no saldrás vivo de ella. — Elbert Hubbard.",FALSE,
ANSIEDAD,La paz comienza con una sonrisa. — Teresa de Calcuta.,FALSE,
ANSIEDAD,El miedo es el camino hacia el lado oscuro. — Yoda (Filosofía pop).,FALSE,
ANSIEDAD,"La realidad es aquello que, incluso cuando dejas de creer en ello, no desaparece. — Philip K. Dick.",FALSE,
ANSIEDAD,"La ansiedad es un maestro estricto, pero un maestro al fin.",FALSE,
ANSIEDAD,Aprender a dejar ir es la clave de la libertad.,FALSE,
ANSIEDAD,"Todo pasa, nada queda.",FALSE,
ANSIEDAD,"La vida es cambio, la resistencia es dolor.",FALSE,
ANSIEDAD,Nuestros pensamientos son los arquitectos de nuestro destino.,FALSE,
ANSIEDAD,"La imaginación es una herramienta, no dejes que sea tu carcelera.",FALSE,
ANSIEDAD,El ruido exterior no es nada comparado con el ruido interior.,FALSE,
ANSIEDAD,La ansiedad es el parásito de la anticipación.,FALSE,
ANSIEDAD,"No somos lo que pensamos, somos los que observan los pensamientos.",FALSE,
ANSIEDAD,Domina tus sentidos y dominarás tu miedo.,FALSE,
ANSIEDAD,La claridad mental es el resultado del desapego emocional.,FALSE,
ANSIEDAD,Preocuparse es como pagar una deuda que no debes.,FALSE,
ANSIEDAD,"La mente es un excelente servidor, pero un amo terrible.",FALSE,
ANSIEDAD,El silencio es el lenguaje de la paz.,FALSE,
ANSIEDAD,"Acepta lo que es, deja ir lo que fue, ten fe en lo que será.",FALSE,
ANSIEDAD,Tu respiración es tu ancla en la tormenta.,FALSE,
ANSIEDAD,"La vulnerabilidad no es debilidad, es nuestra mayor medida de coraje. — Brené Brown.",FALSE,
ANSIEDAD,"No puedes detener las olas, pero puedes aprender a surfear. — Jon Kabat-Zinn.",FALSE,
ANSIEDAD,La alegría de vivir viene de encuentros con nuevas experiencias. — Christopher McCandless.,FALSE,
ANSIEDAD,Sé aquí ahora. — Ram Dass.,FALSE,
ANSIEDAD,Cada mañana nacemos de nuevo. Lo que hacemos hoy es lo que más importa.,FALSE,
